ΚΩΔ. ΚΕΝ,ΚΕΝ ΠΕΡΙΓΡΑΦΗ,ΜΔΝ από 1/3/2012,Κόστος από 1/3/2012,70% κάλυψη σε ιδιωτικά ιδρύματα
Ν31Μ,παθήσεις - επιπλοκές Διαταραχές εγκεφαλικών συζυγιών και περιφερικών νεύρων χωρίς συνυπάρχουσες,7,"1.372,00 €","960,40 €"
Ν31Χ,παθήσεις - επιπλοκές Λοίμωξη νευρικού συστήματος εκτός από ιογενή μηνιγγίτιδα με καταστροφικές (συστηματικές) ή σοβαρές συνυπάρχουσες,2,"250,00 €","175,00 €"
Ν32Μ,παθήσεις – επιπλοκές Λοίμωξη νευρικού συστήματος εκτός από ιογενή μηνιγγίτιδα χωρίς καταστροφικές (συστηματικές) ή σοβαρές συνυπάρχουσες,14,"2.000,00 €","1.400,00 €"
Ν32Χ,παθήσεις – επιπλοκές,5,"1.075,00 €","752,50 €"
Ν33Α,"Ιογενής μηνιγγίτιδα Μη τραυματικής αιτιολογίας εμβροντησία (λήθαργος) και κώμα, με συνυπάρχουσες",3,"672,00 €","470,40 €"
Ν34Μ,"παθήσεις – επιπλοκές Μη τραυματικής αιτιολογίας εμβροντησία (λήθαργος) και κώμα, χωρίς",5,"920,00 €","644,00 €"
Ν34Χ,συνυπάρχουσες παθήσεις – επιπλοκές,2,"340,00 €","238,00 €"
Ν35Α,Πυρετικοί σπασμοί Επιληπτικοί σπασμοί με καταστροφικές (συστηματικές) ή σοβαρές συνυπάρχουσες,2,"318,00 €","222,60 €"
Ν36Μ,παθήσεις - επιπλοκές Επιληπτικοί σπασμοί χωρίς καταστροφικές (συστηματικές) ή σοβαρές συνυπάρχουσες,6,"1.351,00 €","945,70 €"
Ν36Χ,παθήσεις - επιπλοκές,2,"400,00 €","280,00 €"
Ν37Α,Κεφαλαλγία Ενδοκρανιακή (κρανιοεγκεφαλική) κάκωση με καταστροφικές (συστηματικές) ή σοβαρές συνυπάρχουσες παθήσεις –,2,"200,00 €","140,00 €"
Ν38Μ,επιπλοκές,10,"2.115,00 €","1.480,50 €"
Ν38Χ,Ενδοκρανιακή (κρανιοεγκεφαλική) ΜΔΝ από Κόστος από σε ιδιωτικά ΚΩΔ. ΚΕΝ ΚΕΝ ΠΕΡΙΓΡΑΦΗ 1/3/2012 1/3/2012 ιδρύματα κάκωση χωρίς καταστροφικές (συστηματικές) ή σοβαρές συνυπάρχουσες παθήσεις – επιπλοκές Κατάγματα κρανίου με καταστροφικές (συστηματικές) ή σοβαρές συνυπάρχουσες,4,"799,00 €","559,30 €"
Ν39Μ,παθήσεις – επιπλοκές Κατάγματα κρανίου χωρίς καταστροφικές (συστηματικές) ή σοβαρές συνυπάρχουσες,7,"1.203,00 €","842,10 €"
Ν39Χ,παθήσεις – επιπλοκές,5,"600,00 €","420,00 €"
Ν40Α,Άλλες κακώσεις κεφαλής Άλλες διαταραχές του νευρικού συστήματος με καταστροφικές (συστηματικές) ή σοβαρές συνυπάρχουσες,1,"200,00 €","140,00 €"
Ν41Μ,παθήσεις – επιπλοκές Άλλες διαταραχές του νευρικού συστήματος χωρίς καταστροφικές (συστηματικές) ή σοβαρές συνυπάρχουσες,10,"1.670,00 €","1.169,00 €"
Ν41Χ,παθήσεις – επιπλοκές Χρόνια και μη καθορισμένη παραπληγία/ τετραπληγία με ή χωρίς χειρουργικές επεμβάσεις με καταστροφικές (συστηματικές) συνυπάρχουσες παθήσεις –,3,"600,00 €","420,00 €"
Ν42Μα,επιπλοκές Χρόνια και μη καθορισμένη παραπληγία/ τετραπληγία με ή χωρίς χειρουργικές επεμβάσεις με σοβαρές συνυπάρχουσες,23,"5.277,00 €","3.693,90 €"
Ν42Μβ,παθήσεις – επιπλοκές Χρόνια και μη καθορισμένη παραπληγία/ τετραπληγία με ή χωρίς χειρουργικές επεμβάσεις χωρίς καταστροφικές (συστηματικές) ή σοβαρές συνυπάρχουσες,11,"1.960,00 €","1.372,00 €"
Ν42Χ,παθήσεις – επιπλοκές Παθήσεις και διαταραχές των οφθαλμών ΤΚΑ 02 (Ο) Επεμβάσεις για διατιτραίνον τραύμα,6,"1.288,00 €","901,60 €"
Ο01Α,οφθαλμού ΜΔΝ από Κόστος από σε ιδιωτικά ΚΩΔ. ΚΕΝ ΚΕΝ ΠΕΡΙΓΡΑΦΗ 1/3/2012 1/3/2012 ιδρύματα Εξόρυξη οφθαλμού και επεμβάσεις,3,"1.269,00 €","888,30 €"
Ο02Α,οφθαλμικού κόγχου,3,"1.464,00 €","1.024,80 €"
Ο03Α,"Επεμβάσεις αμφιβληστροειδούς Μείζονες επεμβάσεις κερατοειδούς,",1,"731,00 €","511,70 €"
Ο04Α,σκληρού και επιπεφυκότα,3,"1.238,00 €","866,60 €"
Ο05Α,Ασκορινοστομία,1,"700,00 €","490,00 €"
Ο10Α,Επεμβάσεις Στραβισμού,1,"450,00 €","315,00 €"
Ο11Α,"Επεμβάσεις βλεφάρων Άλλες επεμβάσεις κερατοειδούς, σκληρού",1,"450,00 €","315,00 €"
